ANTICORPO,DISPONIBILITÀ
α-Fetoproteina,FBF
Actina HHF35,FBF
Actina m.l.,FBF
ALK-1,SACCO
ALK D5F3,SACCO
Amiloide Λ,SACCO
Amiloide P,SACCO
Androgeni,FBF
Annexin A1,SACCO
ARID1A,SACCO
Arginase,FBF
ATRX,FBF
BCL-1,FBF
BCL-2,FBF
BCL-6,FBF
BCL-10,FBF
β-Catenina,FBF
BRG-1/SMARCA4,FBF
Ca-125,FBF
CA-IX,FBF
Calcitonina,FBF
Caldesmon,FBF
Calponina,FBF
Calretinina,FBF
CEA Mono,FBF
CEA Poli,SACCO
Claudina -18,FBF
C-myc,FBF
CMV,SACCO
Collagene IV,SACCO
Cromogranina,FBF
CD-1,FBF
CD-2,FBF
CD-3,FBF
CD-4,FBF
CD-5,FBF
CD-7,FBF
CD-8,FBF
CD-10,SACCO
CD-11,SACCO
CD-14,SACCO
CD-15,FBF
CD-19,FBF
CD-20,FBF
CD-21,FBF
CD-23,FBF
CD-30,FBF
CD-31,FBF
CD-34,FBF
CD-38,FBF
CD-43,SACCO
CD-44,FBF
CD-45,FBF
CD-56,SACCO
CD-57,SACCO
CD-61,FBF
CD-68 PG-M1,FBF
CD-68 KPI,FBF
CD-79,FBF
CD-99,FBF
CD-117,FBF
CD-138,SACCO
CD-146,SACCO
CD-163,FBF
CDK4,FBF
CDX-2,FBF
CK 5/6,FBF
CK 7,FBF
CK 19,FBF
CK 20,FBF
CK 34βE12,FBF
CK (AE1-AE3),FBF
CK CAM 5.2,FBF
D2-40,FBF
Desmina,FBF
DOG1,FBF
EBV/EBER,SACCO
E-Caderina,FBF
EMA,FBF
EP-CAM,FBF
ERG,FBF
ER,FBF
Fattore VIII,FBF
Fattore XIII,FBF
Fumarato Idratasi,FBF
Galectina 3,FBF
GATA3,FBF
Gastrina,SACCO
GCDFP 15,SACCO
GFAP,FBF
Glicoforina,FBF
Glypican 3,FBF
Glut-1,FBF
Glut Sintetasi,FBF
HCG,FBF
HER-2,FBF
HGAL,FBF
HHIV8,FBF
HMB45,FBF
HPL,SACCO
HPV,SACCO
HSA,FBF
HSV 1,SACCO
HSV 2,SACCO
IDH1,FBF
IgD,SACCO
IgG,SACCO
IgG4,FBF
Inibina-1,SACCO
KI-67,FBF
κ,FBF
λ,FBF
Mammoglobina,FBF
MDM2,FBF
Melan-A,FBF
Mieloperossidasi,FBF
Miogenina,FBF
MLH1,FBF
MSH2,FBF
MSH6,FBF
MUC-1,SACCO
MUC-2,SACCO
MUC-4,SACCO
MUC-6,SACCO
MUM-1,FBF
MYOD1,SACCO
Napsina,FBF
Neurofilamenti,FBF
NKX3,FBF
NSE,FBF
OCT-2,SACCO
OCT-3,4,SACCO
Olig-2,FBF
p16,FBF
p40,FBF
p53,FBF
p57,FBF
p63,FBF
Parvovirus B19,SACCO
Pax-5,FBF
Pax-8,FBF
PDL1 (SP263),FBF
PDL1 (SP142),FBF
PDL1 NFG CTRL,FBF
Performa,SACCO
PHH3,FBF
PLAP,FBF
PMS2 O A,FBF
PR,FBF
PRAME,FBF
PSA,FBF
PSAP,FBF
PTEN,FBF
PTH,SACCO
Racemasi,FBF
RCC,FBF
S100,FBF
SALL4,FBF
SATB2,FBF
Sox-2,SACCO
Sox-10,FBF
Sox-11,FBF
SF1,SACCO
Sinaptofsina,FBF
STAT6,FBF
SV40,SACCO
TdT,FBF
Tia-1,SACCO
Thyroglobulin,FBF
TTF1,FBF
Vimentina,FBF
WT1,FBF
